UPC,Item Name,Brand,Vendors,Vendor List,Min Price,Avg Price
88300606511,"Calvin Klein Obsession EDT for Men | 4 oz / 120 ml",Calvin Klein,21,"TJS; Aairie; Source; Nandansons; Luxury; Sanya; NYB; MTZ; Distributor; Cosmo; Perfume Distributors; Montroyal; PWW; Perfume Price; BS; ET; Classic; Paris; Fragsense; Perfumora; General",14.25,16.05
88300608409,"Calvin Klein Escape EDP for Women | 3.4 oz / 100 ml",N/A,21,"Aairie; Source; Nandansons; United; Luxury; Heritage; Sanya; Cosmo; NYB; Perfume Center; Haz; Montroyal; PWW; Perfume Price; BS; ET; Classic; French; General; POTW; Gift Express",16.95,18.60
3386460126625,"COACH Open Road Men EDT (100ml)",Dolce & Gabbana,21,"OniEssence; TJS; Aairie; Source; Nandansons; Luxury; Mod; Heritage; Cosmo; Distributor; Perfume Distributors; Montroyal; PWW; Euro; French; Fragsense; General; Perfume Price; POTW; MTZ; Gift Express",17.25,21.31
737052683553,"Hugo Boss Deep Red EDP for Women | 3 oz / 90 ml - SPR",Hugo Boss,21,"TJS; Source; United; Luxury; Mod; Heritage; Sanya; Perfume Center; Cosmo; Montroyal; Nandansons; PWW; MTZ; Gift Express; Perfume Price; BS; Classic; French; Fragsense; General; Aairie",18.25,20.74
3360373016358,"Cacharel Noa EDT for Women | 3.4 oz / 100 ml Spray",Cacharel,21,"Nandansons; Luxury; Mod; Heritage; Sanya; TJS; Cosmo; NYB; Perfume Center; Montroyal; PWW; Perfume Price; Acme; ET; Premier; Classic; Network; General; Paris; MTZ; Gift Express",20,23.38
3360377032767,"RALPH LAUREN Polo Black EDT for Men | 4.2 oz / 125 ml",RALPH LAUREN,21,"TJS; Source; PWW; United; NYB; Heritage; MTZ; Perfume Plus; Distributor; Haz; Montroyal; Nandansons; Gift Express; Perfume Price; ET; Premier; Perfumora; General; Paris; POTW; Network",24.5,27.89
3439600056655,"Thierry Mugler Angel W 3.4 edp spr",N/A,21,"Network; OniEssence; Perfume Price; United; NYB; Heritage; TJS; Beauty Encounter; Nandansons; Perfume Plus; Classic; Perfume Center; Fun2; Premier; Aairie; Distributor; General; PWW; Perfumora; MTZ; Haz",48.5,54.99
3616300892442,"BURBBERY HER LONDON DREAM (L) 3.4OZ EDP",N/A,21,"Luxury; Heritage; TJS; Beauty Encounter; Nandansons; Fragrance Depot; PWW; Acme; ECScott; ET; Aairie; Perfume Plus; Distributor; POTW; Fap; Perfume Price; MTZ; Classic; Perfume Center; Paris; Haz",51.5,59.28
3360372009436,"Guy Laroche Drakkar Noir EDT for Men | 3.4 oz / 100 ml",Guy Laroche,20,"TJS; Nandansons; ABDiversified; Source; Luxury; Mod; Heritage; Premier; Perfume Center; Cosmo; POTW; Haz; Montroyal; Paris; Gift Express; BS; Perfumora; ET; United; Network",8.35,11.03
3360374533205,"Cacharel Anais Anais L'Original EDT for Women | 3.4 oz / 100 ml",Cacharel,20,"TJS; Source; Nandansons; United; Luxury; Mod; Heritage; Cosmo; Perfume Center; Montroyal; PWW; Perfume Price; MTZ; BS; Classic; French; ET; Paris; Network; General",19,21.51
3386460136549,"JIMMY CHOO Rose Passion Wom EDP (100ml)",Dolce & Gabbana,20,"OniEssence; TJS; Source; Mod; Heritage; Aairie; MTZ; Fragrance Depot; Montroyal; Nandansons; Perfume Price; Premier; Classic; Gift Express; French; Distributor; PWW; Fragsense; General; United",19.5,26.24
3614226905185,"Burberry London EDP for Women | 3.3 oz / 100 ml",Burberry,20,"Perfume Price; TJS; Source; Nandansons; Luxury; Heritage; Aairie; NYB; MTZ; Distributor; Perfume Center; Perfume Distributors; Montroyal; Premier; Fragsense; Perfumora; General; United; Paris; POTW",22.25,25.33
